name,category,price,cost_price,stock,pieces_per_sheet,sheets_per_box,description,manufacturer
Rowachol Capsules,Digestive,26.00,21.00,100,10,10,For liver and biliary disorders,Rowa
Rowatinex Capsules,Other,30.00,24.00,80,10,10,For kidney and urinary tract disorders,Rowa
Celebrex 200mg,Anti-inflammatory,35.00,28.00,70,10,10,Celecoxib for arthritis pain,Pfizer
Arcoxia 120mg,Anti-inflammatory,45.00,36.00,60,7,2,Etoricoxib for acute pain,Merck
Lyrica 75mg,Other,50.00,40.00,50,14,4,Pregabalin for neuropathic pain,Pfizer
Plavix 75mg,Cardiovascular,55.00,45.00,80,14,2,Clopidogrel to prevent heart attack/stroke,Sanofi
Crestor 10mg,Cardiovascular,60.00,48.00,70,14,2,Rosuvastatin for high cholesterol,AstraZeneca
Lipitor 20mg,Cardiovascular,58.00,46.00,75,10,10,Atorvastatin for cholesterol management,Pfizer
Januvia 100mg,Other,70.00,56.00,40,14,2,Sitagliptin for type 2 diabetes,Merck
Forxiga 10mg,Other,75.00,60.00,35,14,2,Dapagliflozin for type 2 diabetes,AstraZeneca
Xanax 250mcg,Other,25.00,20.00,100,10,10,Alprazolam for anxiety (requires prescription),Pfizer
Valium 5mg,Other,20.00,16.00,120,10,10,Diazepam for anxiety/seizures (requires prescription),Roche
Dormicum 7.5mg,Other,30.00,24.00,90,10,10,Midazolam for insomnia (requires prescription),Roche
Augmentin 625mg,Antibiotic,32.00,25.00,110,7,2,Co-amoxiclav antibiotic,GlaxoSmithKline
Zinnat 500mg,Antibiotic,45.00,36.00,80,10,1,Cefuroxime antibiotic,GlaxoSmithKline
Zithromax 500mg,Antibiotic,55.00,44.00,70,3,1,Azithromycin antibiotic,Pfizer
Difflam Lozenges,Respiratory,12.00,9.50,300,8,2,For sore throat and mouth sores,iNova
Dequadin Lozenges,Respiratory,10.00,8.00,350,8,2,Antiseptic lozenges for throat infection,iNova
Kamillosan M Spray,Respiratory,350.00,280.00,50,1,1,Herbal throat spray,A. Menarini
Sinecod Forte,Respiratory,18.00,14.50,150,10,10,Butamirate citrate for dry cough,GlaxoSmithKline
Allerkid Syrup 60ml,Antihistamine,180.00,145.00,60,1,1,Cetirizine for kids' allergies,Unilab
Disudrin Syrup 60ml,Respiratory,140.00,110.00,70,1,1,Decongestant syrup for children,Unilab
Calmoseptine Ointment,Dermatological,150.00,120.00,100,1,1,Protective ointment for skin irritations,Calmoseptine Inc.
Fissan Prickly Heat Powder,Dermatological,80.00,65.00,200,1,1,Powder for prickly heat and rashes,Unilever
Eskinol Facial Cleanser,Personal Care,90.00,72.00,150,1,1,Classic facial cleanser,Unilever
Master Facial Cleanser,Personal Care,85.00,68.00,160,1,1,Facial cleanser for men,Unilever
Off! Overtime Insect Repellent,Personal Care,130.00,105.00,120,1,1,Insect repellent lotion,SC Johnson
Gardian Angel Loperamide,Digestive,7.50,6.00,220,10,10,For diarrhea relief,Pascual Laboratories
RiteMed Paracetamol,Analgesic,1.50,1.00,1000,10,10,Affordable generic paracetamol,RiteMed
RiteMed Ascorbic Acid,Supplement,2.00,1.50,1200,10,10,Affordable Vitamin C,RiteMed
RiteMed Carbocisteine,Respiratory,5.00,3.80,500,10,10,Affordable cough medicine,RiteMed
